contractingProcedureType,publicationDate,ccp,contracted,contracting,initialContractualPrice,objectBriefDescription,signingDate,id
Ajuste Direto Regime Geral,11-06-2025,False,PEDAL ITINERANTE - LDA,Município de Mesão Frio,"11.000,00 €",CONTRATUALIZAÇÃO DE TRANSPORTE OCASIONAL PARA OS PARTICIPANTES NO PASSEIO SÉNIOR 2025,11-06-2025,11513221
Ajuste Direto Regime Geral,11-06-2025,False,P.M.H,"Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","4.355,25 €","TUBO ASPIRACAO BULBO 5MMX3 MTS
SISTEMA TRANSFUSAO SANGUE CAMARA CURTA 180CM
SACO URINA 2L ANTI-RET.,TORNEIRA DREN.C/COLHEITA",21-04-2025,11513219
Consulta Prévia,11-06-2025,False,PERÍMETRO GRANDIOSO-LDA,Freguesia de Carvalhos,"148.840,92 €",Arrelvamento do campo de futebol,28-05-2025,11513217
Concurso público,11-06-2025,False,Guimarães & Couceiro | Soluções de Engenharia e Manutenção,Município de Guimarães,"73.504,39 €","Aquisição de serviços para a fiscalização da empreitada ""Centro de Saúde da encosta da Penha - Costa""",11-06-2025,11513216
Ao abrigo de acordo-quadro (art.º 259.º),11-06-2025,False,LOGISTA PHARMA,"Unidade Local de Saúde de Entre o Douro e Vouga, E. P. E.","5.155,80 €","1396/2025-Convite à apresentação de propostas ao abrigo do(s) acordo(s)-quadro 2022/0019 - Medicamentos antipsicóticos, anestésicos e relaxantes musculares, 2022/0055 - Medicamentos diversos, 2023/030...",25-03-2025,11513214
Ajuste Direto Regime Geral,11-06-2025,False,"Galp Açores, Unipessoal Lda.","Instituto de Alimentação e Mercados Agrícolas, I. P. R. A.","28.696,54 €",Fornecimento de gás butano a granel para os Matadouros de São Miguel e da Terceira,05-06-2025,11513213
Consulta Prévia,11-06-2025,False,"Generali Seguros, S.A.",Litoralrural - Associação de Desenvolvimento Regional,"3.499,26 €",Aquisição de Serviços de Seguro de Acidentes de Trabalho,04-06-2025,11513212
Ajuste Direto Regime Geral,11-06-2025,False,"Desentope e Protege, Lda",Município de Ourém,"14.250,00 €",P122/2025 - Aquisição de Serviços para Desobstrução de Coletores de Águas Pluviais e Similares (13248/2025),05-06-2025,11513211
Ajuste Direto Regime Geral,11-06-2025,False,"ROCHE FARMACÊUTICA QUIMICA, LDA.","Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","4.800,00 €",Epoetina beta 30 000 U.I./0.6 ml Sol inj Ser 0.6 ml IV SC,25-03-2025,11513205
Ajuste Direto Regime Geral,11-06-2025,False,"Intersurgical Portugal - Comércio de Produtos Hospitalares, Lda","Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","90,00 €","ADCM 1694/25 - MATERIAL DE CONSUMO CLINICO
",09-04-2025,11513204
Ajuste Direto Regime Geral,11-06-2025,False,"TEPREL - EQUIPAMENTOS MEDICOS, SA","Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","98,00 €",ADCM 1369/25 MATERIAL CONSUMO CLINICO,27-03-2025,11513203
Ajuste Direto Regime Geral,11-06-2025,False,Andreia Filipa Simão Ferreira,Universidade de Coimbra,"17.400,00 €",Aquisição de serviços de gestão de procedimentos no âmbito das tarefas dos Serviços Administrativos da Faculdade de Direito da Universidade de Coimbra,09-05-2025,11513201
Ajuste Direto Regime Geral,11-06-2025,False,Hospitex - Material Hospitalar,"Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","152,60 €",DRENO PENROSE SILICONE 12 MM X 50 CM COMPRIMENTO,21-04-2025,11513199
Ajuste Direto Regime Geral,11-06-2025,False,"Responsive, Unipessoal Lda","Navegação Aérea de Portugal - NAV Portugal, E.P.E.","6.720,00 €",AQUISIÇÃO DE SERVIÇOS DE ATUALIZAÇÃO DA PLATAFORMA NAVSEG (Avaliações de Segurança),19-12-2024,11513198
Ao abrigo de acordo-quadro (art.º 259.º),11-06-2025,False,"LAB. PFIZER, LDA.","Unidade Local de Saúde de Entre o Douro e Vouga, E. P. E.","1.410,00 €","1396/2025-Convite à apresentação de propostas ao abrigo do(s) acordo(s)-quadro 2022/0019 - Medicamentos antipsicóticos, anestésicos e relaxantes musculares, 2022/0055 - Medicamentos diversos, 2023/030...",25-03-2025,11513197
Ajuste Direto Regime Geral,11-06-2025,False,"Teleflex Medical, S.A.U","Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","627,20 €",ADCM 1369/25 MATERIAL CONSUMO CLINICO,27-03-2025,11513196
Ajuste Direto Regime Geral,11-06-2025,False,INSTITUTO PORTUGUES SANGUE E TRANSPLANTAÇÃO,"Unidade Local de Saúde do Alto Alentejo, E. P. E.","9.750,00 €",Medicamentos,17-04-2025,11513194
Ajuste Direto Regime Geral,11-06-2025,False,"Coloplast Portugal II Unipessoal, Lda","Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","528,60 €","ADCM 1694/25 - MATERIAL DE CONSUMO CLINICO
",09-04-2025,11513191
Concurso público,11-06-2025,False,LABORATORIOS ATRAL S.A.,"Unidade Local de Saúde do Médio Ave, E.P.E.","2.970,00 €",Concurso público internacional para aquisição de medicamentos no âmbito da Agregação Centralizada 2025,11-04-2025,11513190
Ajuste Direto Regime Geral,11-06-2025,False,"Medtronic Portugal, Lda","Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","4.670,00 €",ADCM 1369/25 MATERIAL CONSUMO CLINICO,27-03-2025,11513189
Ajuste Direto Regime Geral,11-06-2025,False,"TEVA PHARMA - PRODUTOS FARMACEUTICOS,LDA","Unidade Local de Saúde do Alto Alentejo, E. P. E.","3.090,00 €",Medicamentos,17-04-2025,11513188
Ajuste Direto Regime Geral,11-06-2025,False,"Medicinália- Cormédica MC Medical, Lda","Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","540,00 €",PROLONGAMENTO COM CONTROLADOR DE DÉBITO,21-04-2025,11513187
Ajuste Direto Regime Geral,11-06-2025,False,"2AB - Comércio e Serviços de Equipamentos, Lda",Município do Seixal,"29.009,43 €",Serviços para reparação e manutenção de triciclos.,11-06-2025,11513185
Ajuste Direto Regime Geral,11-06-2025,False,"Coloplast Portugal II Unipessoal, Lda","Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","510,50 €","ADCM 1694/25 - MATERIAL DE CONSUMO CLINICO
",09-04-2025,11513184
Ajuste Direto Regime Geral,11-06-2025,False,"SMITH & NEPHEW, LDA.","Unidade Local de Saúde do Alto Alentejo, E. P. E.","105,00 €",Medicamentos,17-04-2025,11513181
