contractingProcedureType,publicationDate,ccp,contracted,contracting,initialContractualPrice,objectBriefDescription,signingDate,id
Consulta Prévia,11-06-2025,False,"Maquiguarda, Lda",Município de Idanha-a-Nova,"62.250,00 €",Aquisição de uma mini retroescavadora tipo 1CX com martelo hidráulico ,11-06-2025,11513145
Ajuste Direto Regime Geral,11-06-2025,False,Grupo Vitalino SA,"Unidade Local de Saúde de Gaia/Espinho, E. P. E.","561,60 €",ELECTRODO P APARELHO DE TENS Ø 32 MM,23-07-2024,11513144
Concurso público,11-06-2025,False,PENSAMENTOPALINO - UNIPESSOAL LDA,Instituto Pedro Nunes - Associação para a Inovação e Desenvolvimento em Ciência e Tecnologia,"120.000,00 €",Aquisição de serviços de consultoria especializada em Engenharia de Superfícies e Revestimentos,14-05-2025,11513142
Concurso público,11-06-2025,False,"ABBOTT MEDICAL PORTUGAL, Lda.","Unidade Local de Saúde do Alentejo Central, E. P. E.","53.519,40 €",DM Bainhas Introdutoras à Consignação,01-03-2025,11513140
Ajuste Direto Regime Geral,11-06-2025,False,"Vygon Portugal, Lda","Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","198,00 €",ADCM 1369/25 MATERIAL CONSUMO CLINICO,27-03-2025,11513139
Consulta Prévia,11-06-2025,False,Agarraprogresso SA,"Agrupamento de Escolas D. Afonso III, Vinhais","14.850,15 €",Aquisição de bens alimentares,19-02-2025,11513135
Contratação excluída II,11-06-2025,False,Vanessa Patrícia Coelho Ferreira,"Yourit Academy - Formação e Sistemas de Informação, L.da","750,00 €",Serviços de Formação Profissional,29-05-2025,11513133
Ajuste Direto Regime Geral,11-06-2025,False,"Rui Miguel Abreu - Produções Musicais Unipessoal, Lda","EGEAC - Empresa de Gestão de Equipamentos e Animação Cultural, E. M., S. A.","13.300,00 €",Programação Pôr do Sol 6º edição Agosto DJ's,11-06-2025,11513132
Ao abrigo de acordo-quadro (art.º 259.º),11-06-2025,False,LABORATORIOS ATRAL S.A.,"Unidade Local de Saúde de Entre o Douro e Vouga, E. P. E.","5.712,00 €","1396/2025-Convite à apresentação de propostas ao abrigo do(s) acordo(s)-quadro 2022/0019 - Medicamentos antipsicóticos, anestésicos e relaxantes musculares, 2022/0055 - Medicamentos diversos, 2023/030...",25-03-2025,11513131
Ajuste Direto Regime Geral,11-06-2025,False,"LAB. FARMACEUTICOS ROVI, SA.","Unidade Local de Saúde do Alto Alentejo, E. P. E.","5.824,80 €",Medicamentos,17-04-2025,11513129
Ajuste Direto Regime Geral,11-06-2025,False,"Sergio Pacheco Alves, Unipessoal LDA",Associação Porto Digital,"9.750,00 €",Aquisição de serviços de conceção visual da nova edição do Guia para a Inovação.,09-06-2025,11513128
Ao abrigo de acordo-quadro (art.º 258.º),11-06-2025,False,"INTERPREV - SEGURANÇA E SAÚDE DO TRABALHO, S.A.",Município da Chamusca,"20.740,00 €",Aquisição de serviços externos de segurança e saúde no trabalho,06-06-2025,11513127
Ajuste Direto Regime Geral,11-06-2025,False,Raquel Sofia Barroso Parreira,Município de Évora,"6.720,00 €",AQUISIÇÃO DE SERVIÇOS DE ENFERMAGEM,06-06-2025,11513124
Ajuste Direto Regime Geral,11-06-2025,False,frilabo,"Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","308,74 €","PONTA C/ FILTRO 0,5 - 10UL, SHORT
PONTA C/ FILTRO 100 - 1250UL",21-04-2025,11513122
Ajuste Direto Regime Geral,11-06-2025,False,"VIRTUGAL, LDA","Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","300,00 €",ADCM 1369/25 MATERIAL CONSUMO CLINICO,27-03-2025,11513119
Ajuste Direto Regime Geral,11-06-2025,False,"LABESFAL-LAB. ALMIRO, SA.","Unidade Local de Saúde do Alto Alentejo, E. P. E.","620,00 €",Medicamentos,17-04-2025,11513118
Ajuste Direto Regime Geral,11-06-2025,False,"Pórtico-Arquitetura e Engenharia, Ldª","Unidade Local de Saúde da Lezíria, E. P. E.","19.980,00 €","Aquisição de projeto para beneficiação da Unidade de Cuidados Intermédios (piso 6) da ULS Lezíria, E.P.E",09-06-2025,11513116
Concurso público,11-06-2025,False,"OVERPHARMA,LDA.","Unidade Local de Saúde do Médio Ave, E.P.E.","1.372,50 €",Concurso público internacional para aquisição de medicamentos no âmbito da Agregação Centralizada 2025,11-04-2025,11513115
Ajuste Direto Regime Geral,11-06-2025,False,AURUM ET PURPURA ,Município de Ponte de Lima,"6.000,00 €","Aquisição de serviços para espetáculo de ópera ""Edifício Paz"" ",28-05-2025,11513114
Ajuste Direto Regime Geral,11-06-2025,False,"LABESFAL-LAB. ALMIRO, SA.","Unidade Local de Saúde do Alto Alentejo, E. P. E.","1.011,36 €",Medicamentos,17-04-2025,11513113
Ajuste Direto Regime Geral,11-06-2025,False,"Grandalvo Serviços, Lda",Município de Arcos de Valdevez,"19.514,00 €",PF 1056/2025 - Aquisição de serviços de recrutamento e seleção de recursos humanos para a DDEU - Divisão de Desenvolvimento Económico e Urbanismo,09-06-2025,11513112
Contratação excluída II,11-06-2025,False,APDH - ASSOC. PORT. P\ DESENVOL. HOSPITALAR,"Instituto Nacional de Emergência Médica, I. P.","6.000,00 €","Pagamento da quota e joia, referente à inscrição do INEM na associação Portuguesa de Desenvolvimento Hospitalar.",19-05-2025,11513108
Ajuste Direto Regime Geral,11-06-2025,False,"Coloplast Portugal II Unipessoal, Lda","Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","22,00 €",ADCM 1369/25 MATERIAL CONSUMO CLINICO,27-03-2025,11513106
Ajuste Direto Regime Geral,11-06-2025,False,"IQVIA Solutions Portugal, Unipessoal, Lda.","INFARMED - Autoridade Nacional do Medicamento e Produtos de Saúde, I. P.","67.500,00 €",Subscrição da Plataforma “IQVIA Shortage Transparency Platform”,28-05-2025,11513104
Setores especiais – isenção parte II,11-06-2025,False,"MVA - Electrotecnia, Lda.","Metropolitano de Lisboa, E. P. E.","6.000,00 €","Aquisição  de 10 Un. De TINF - Placa Lógica 2001 V6.0 (16 vias)
",16-04-2025,11513102
