contractingProcedureType,publicationDate,ccp,contracted,contracting,initialContractualPrice,objectBriefDescription,signingDate,id
Concurso público,11-06-2025,False,"ABGT, UNIPESSOAL LDA","Unidade Local de Saúde do Arco Ribeirinho, E. P. E.","34.870,00 €",DM RADIOTERAPIA,16-04-2025,11513026
Consulta Prévia,11-06-2025,False,"MANUEL RUI AZINHAIS NABEIRO, UNIPESSOAL, LDA.",Agrupamento de Escolas de Barcelos,"8.823,90 €",Aquisição de bens alimentares para os bares do Agrupamento de Escolas de Barcelos,13-05-2025,11513025
Ao abrigo de acordo-quadro (art.º 259.º),11-06-2025,False,HIKMA FARMACÊUTICA (PORTUGAL) SA.,"Unidade Local de Saúde de Entre o Douro e Vouga, E. P. E.","6.554,00 €","1396/2025-Convite à apresentação de propostas ao abrigo do(s) acordo(s)-quadro 2022/0019 - Medicamentos antipsicóticos, anestésicos e relaxantes musculares, 2022/0055 - Medicamentos diversos, 2023/030...",25-03-2025,11513023
Ajuste Direto Regime Geral,11-06-2025,False,"GENERIS – FARMACEUTICA, S.A.","Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","1.254,85 €",VORIconazol 200 mg Comp / EScitalopram 20 mg Comp.,25-03-2025,11513022
Ajuste Direto Regime Geral,11-06-2025,False,"B BRAUN MEDICAL UNIPESSOAL, LDA","Unidade Local de Saúde do Alto Alentejo, E. P. E.","299,50 €",Medicamentos,17-04-2025,11513021
Consulta Prévia,11-06-2025,False,"Canas - Engenharia e Construção, SA",Município de Pombal,"45.168,68 €",Revisão e manutenção de instalações elétricas dos equipamentos municipais (Requalificação dos Armários Municipais para ligações eventuais BTE no Largo do Arnado - Pombal) - Proc. n.º 13/2025,05-06-2025,11513014
Contratação excluída II,11-06-2025,False,RENATA CATARINA MACHADO SOUSA,Centro de Emprego do Médio Ave,"5.800,00 €",Serviços de formação: formador externo para curso de Técnico/a Ação Educativa – EFA ID 25.0080 Nº Financeiro: 76102UF0268 - Porto,06-06-2025,11513013
Ajuste Direto Regime Geral,11-06-2025,False,"MEO - Serviços de Comunicações e Multimédia, S.A.",Município de Portel,"14.292,00 €",Aquisição de Prestação de Serviços de Comunicações Móveis,22-05-2025,11513012
Concurso público,11-06-2025,False,Nirvar Construções Lda,"Penafiel Verde, E. M.","245.859,92 €","RENOVAÇÃO DA REDE DE DISTRIBUIÇÃO DE ÁGUA NAS FREGUESIAS DE BUSTELO E PENAFIEL, CONCELHO DE PENAFIEL",10-06-2025,11513011
Concurso público,11-06-2025,False,Carlos Alexandre Costa Carreira,Município de Ílhavo,"4.474.589,04 €","Construção de habitação, no lugar do Bebedouro, freguesia da Gafanha da Nazaré no âmbito da Estratégia Local de Habitação do Município de Ílhavo",15-05-2025,11513010
Ajuste Direto Regime Geral,11-06-2025,False,"Interphysix - Equipamentos Técnicos Unipessoal, Lda","Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","220,00 €",FOLHA DE BOLUS BRANCA ,31-03-2025,11513009
Concurso público,11-06-2025,False,"Toscca-equipamentos em madeira, Lda",Município de Oeiras,"99.756,24 €",2024/8 - DGEP - Requalificação do Parque Urbano da Terrugem - Ligações Pedonais,06-06-2025,11513008
Ajuste Direto Regime Geral,11-06-2025,False,Roche Sistemas Diagnóstico Lda,"Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","18.325,00 €",REAGENTES DIVERSOS,09-04-2025,11513007
Ajuste Direto Regime Geral,11-06-2025,False,"B BRAUN MEDICAL UNIPESSOAL, LDA","Unidade Local de Saúde do Alto Alentejo, E. P. E.","402,57 €",Medicamentos,17-04-2025,11513006
Ajuste Direto Regime Geral,11-06-2025,False,"BIOJAM,S.A","Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","921,60 €",Isoprenalina 1 mg/5 ml Sol inj Fr,25-03-2025,11513002
Ao abrigo de acordo-quadro (art.º 259.º),11-06-2025,False,"Glaxo SmithKline - Produtos Farmacêutico, Lda. ","Unidade Local de Saúde do Médio Ave, E.P.E.","49.274,70 €",Aquisição ao abrigo do AQ 2022/13 para as instituições do SNS,19-03-2025,11512999
Consulta Prévia,11-06-2025,False,"Imobrunês - Empreendimentos Imobiliários, S.A.",União das Freguesias de Monte Redondo e Carreira,"83.184,50 €",EB1 DA CARREIRA - CONSTRUÇÃO DE TELHEIRO E REQUALIFICAÇÃO DO PAVIMENTO DO PARQUE INFANTIL E MUPIS DIGITAIS NA VILA DE MONTE REDONDO E NA CARREIRA,03-06-2025,11512998
Ajuste Direto Regime Geral,11-06-2025,False,"B BRAUN MEDICAL UNIPESSOAL, LDA","Unidade Local de Saúde do Alto Alentejo, E. P. E.","81,84 €",Medicamentos,17-04-2025,11512996
Ajuste Direto Regime Geral,11-06-2025,False,"SHDM, DISPOSITIVOS MÉDICOS PORTUGAL, UNIPESSOAL LDA","Unidade Local de Saúde de Almada-Seixal, E.P.E.","1.387,20 €",PEÇA DE MÃO RETA P/ MOTOR SPIGGLE & THEIS,28-05-2025,11512991
Ajuste Direto Regime Geral,11-06-2025,False,"Luís Guerra, Unipessoal, Lda.",Município de Coimbra,"5.230,56 €",Ajuste direto n.º 58/2025 – Aquisição de Equipamento para cafetaria/copa de suporte ao espaço reabilitado para alargamento do Espaço Cowork,11-06-2025,11512986
Ajuste Direto Regime Geral,11-06-2025,False,3M ESPANHA SUCURSAL PORTUGAL,"Unidade Local de Saúde do Alto Alentejo, E. P. E.","1.129,00 €",Medicamentos,17-04-2025,11512984
Ajuste Direto Regime Geral,11-06-2025,False,"Quilaban, SA","Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","6.425,08 €",REAGENTES DIVERSOS,09-04-2025,11512983
Ajuste Direto Regime Geral,11-06-2025,False,DIVISIONCARE HEALTH SERVICES UNIP LDA,"Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","464,76 €",40563125 - CORTINA DESCARTÁVEL 200 X 255CM  (ALT+LARG),17-04-2025,11512981
Consulta Prévia,11-06-2025,False,"CVA Europe, Lda.","IAPMEI - Agência para a Competitividade e Inovação, I. P.","60.000,00 €",Aquisição de Serviços de Assessoria de Comunicação,03-06-2025,11512976
Ajuste Direto Regime Geral,11-06-2025,False,Labesfal,"Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","143,00 €",Lidocaína 20 mg/ml Sol inj Fr 5 ml Epidural IM IV,25-03-2025,11512973
